timestamp,target_dist,target_x,target_y,skew,target_1_horizontal_angle,target_2_horizontal_angle,target_3_horizontal_angle,heading,horiz_angle,to_the_left,difference,heading_model,has_target,unfiltered_horiz_angle_1,unfiltered_horiz_angle_2,unfiltered_horiz_angle_3,overall_tx,back_target_dist,back_horiz_angle,back_has_target,pricey_has_target,pricey_horiz_angle,pricey_target_dist,queue_index
1475440,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7570

1475450,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7571

1475460,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7572

1475470,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7573

1475480,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7574

1475490,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7575

1475500,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7576

1475510,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7577

1475520,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7578

1475530,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7579

1475540,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7580

1475550,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7581

1475560,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7582

1475570,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7583

1475580,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7584

1475590,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7585

1475600,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7586

1475610,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7587

1475620,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7588

